document_id,분류,직무 설명,능력단위 명,content
NCS-00093,정보통신 > AI 서비스 운영,"AI 응답 품질, 모델 성능, 사용자 피드백을 관리하는 직무",AI 서비스 품질관리,"분류: 정보통신 > AI 서비스 운영. 직무 설명: AI 응답 품질, 모델 성능, 사용자 피드백을 관리하는 직무. 능력단위 명: AI 서비스 품질관리."
NCS-00094,문화·예술·디자인·방송 > UX 기획,사용자 문제와 서비스 흐름을 분석하여 화면과 기능 요구사항을 정의하는 직무,사용자 경험 설계,분류: 문화·예술·디자인·방송 > UX 기획. 직무 설명: 사용자 문제와 서비스 흐름을 분석하여 화면과 기능 요구사항을 정의하는 직무. 능력단위 명: 사용자 경험 설계.
NCS-00095,문화·예술·디자인·방송 > UX 리서치,"사용자 인터뷰, 설문, 행동 데이터를 분석해 제품 개선 방향을 찾는 직무",사용자 조사,"분류: 문화·예술·디자인·방송 > UX 리서치. 직무 설명: 사용자 인터뷰, 설문, 행동 데이터를 분석해 제품 개선 방향을 찾는 직무. 능력단위 명: 사용자 조사."
NCS-00096,영업판매 > 마케팅,"시장과 고객을 분석하여 브랜드, 프로모션, 광고 전략을 수립하는 직무",마케팅 전략 수립,"분류: 영업판매 > 마케팅. 직무 설명: 시장과 고객을 분석하여 브랜드, 프로모션, 광고 전략을 수립하는 직무. 능력단위 명: 마케팅 전략 수립."
NCS-00097,영업판매 > 디지털마케팅,"온라인 광고, 검색, SNS, 콘텐츠를 활용해 고객 유입을 관리하는 직무",디지털 캠페인 운영,"분류: 영업판매 > 디지털마케팅. 직무 설명: 온라인 광고, 검색, SNS, 콘텐츠를 활용해 고객 유입을 관리하는 직무. 능력단위 명: 디지털 캠페인 운영."
NCS-00098,경영·회계·사무 > 서비스기획,고객 문제와 비즈니스 목표를 바탕으로 서비스 기능과 정책을 설계하는 직무,서비스 요구사항 정의,분류: 경영·회계·사무 > 서비스기획. 직무 설명: 고객 문제와 비즈니스 목표를 바탕으로 서비스 기능과 정책을 설계하는 직무. 능력단위 명: 서비스 요구사항 정의.
NCS-00099,경영·회계·사무 > 서비스기획,서비스 출시 후 지표를 분석하고 개선 과제를 관리하는 직무,서비스 성과분석,분류: 경영·회계·사무 > 서비스기획. 직무 설명: 서비스 출시 후 지표를 분석하고 개선 과제를 관리하는 직무. 능력단위 명: 서비스 성과분석.
NCS-00100,교육·자연·사회과학 > 진로교육,"학습자와 구직자의 흥미, 역량, 목표를 파악해 진로 탐색을 지원하는 직무",진로탐색 지원,"분류: 교육·자연·사회과학 > 진로교육. 직무 설명: 학습자와 구직자의 흥미, 역량, 목표를 파악해 진로 탐색을 지원하는 직무. 능력단위 명: 진로탐색 지원."
NCS-00101,교육·자연·사회과학 > 취업지원,"구직자의 취업 목표 설정, 역량 점검, 채용 준비 방향을 지원하는 직무",취업상담,"분류: 교육·자연·사회과학 > 취업지원. 직무 설명: 구직자의 취업 목표 설정, 역량 점검, 채용 준비 방향을 지원하는 직무. 능력단위 명: 취업상담."
NCS-00102,교육·자연·사회과학 > 자격교육,자격 취득 목표에 맞춰 학습 계획과 시험 준비 방향을 안내하는 직무,자격학습 지도,분류: 교육·자연·사회과학 > 자격교육. 직무 설명: 자격 취득 목표에 맞춰 학습 계획과 시험 준비 방향을 안내하는 직무. 능력단위 명: 자격학습 지도.
